TIME_ZONE,STATE,timezone
ADT,AK,America/Anchorage
AKS,AK,America/Anchorage
AKS,PK,America/Anchorage
AST,AK,America/Anchorage
AST,PR,America/Puerto_Rico
AST,VI,America/Virgin
AST,GU,Pacific/Guam
AST,AM,America/Port_of_Spain
AST,PK,America/Anchorage
CDT,AR,America/Chicago
CDT,IL,America/Chicago
CDT,KS,America/Chicago
CDT,MN,America/Chicago
CDT,MS,America/Chicago
CDT,OK,America/Chicago
CDT,TX,America/Chicago
CDT,WI,America/Chicago
CDT,KY,America/Chicago
CDT,LA,America/Chicago
CDT,SD,America/Chicago
CDT,TN,America/Chicago
CSC,IA,America/Chicago
CSt,FL,America/Chicago
CSt,KS,America/Chicago
CSt,KY,America/Chicago
CSt,TX,America/Chicago
CST,AL,America/Chicago
CST,AZ,America/Chicago
CST,AR,America/Chicago
CST,CA,America/Chicago
CST,CO,America/Chicago
CST,CT,America/Chicago
CST,DE,America/Chicago
CST,DC,America/Chicago
CST,FL,America/Chicago
CST,GA,America/Chicago
CST,HI,America/Chicago
CST,ID,America/Chicago
CST,IL,America/Chicago
CST,IN,America/Chicago
CST,IA,America/Chicago
CST,KS,America/Chicago
CST,KY,America/Chicago
CST,LA,America/Chicago
CST,ME,America/Chicago
CST,MD,America/Chicago
CST,MA,America/Chicago
CST,MI,America/Chicago
CST,MN,America/Chicago
CST,MS,America/Chicago
CST,MO,America/Chicago
CST,MT,America/Chicago
CST,NE,America/Chicago
CST,NV,America/Chicago
CST,NH,America/Chicago
CST,NJ,America/Chicago
CST,NM,America/Chicago
CST,NY,America/Chicago
CST,NC,America/Chicago
CST,ND,America/Chicago
CST,OH,America/Chicago
CST,OK,America/Chicago
CST,OR,America/Chicago
CST,PA,America/Chicago
CST,RI,America/Chicago
CST,SC,America/Chicago
CST,SD,America/Chicago
CST,TN,America/Chicago
CST,TX,America/Chicago
CST,UT,America/Chicago
CST,VT,America/Chicago
CST,VA,America/Chicago
CST,WA,America/Chicago
CST,WV,America/Chicago
CST,WI,America/Chicago
CST,WY,America/Chicago
CST,PR,America/Chicago
CST,ST,America/Chicago
CST,GM,America/Chicago
CST,LM,America/Chicago
CST,LS,America/Chicago
EDT,DE,America/New_York
EDT,FL,America/New_York
EDT,GA,America/New_York
EDT,IN,America/New_York
EDT,KS,America/New_York
EDT,LA,America/New_York
EDT,ME,America/New_York
EDT,MD,America/New_York
EDT,MS,America/New_York
EDT,NH,America/New_York
EDT,NY,America/New_York
EDT,NC,America/New_York
EDT,TN,America/New_York
EDT,VT,America/New_York
EDT,VA,America/New_York
EDT,KY,America/New_York
EDT,MI,America/New_York
EDT,OH,America/New_York
EDT,SC,America/New_York
ESt,GA,America/New_York
ESt,OH,America/New_York
EST,AL,America/New_York
EST,CT,America/New_York
EST,DE,America/New_York
EST,FL,America/New_York
EST,GA,America/New_York
EST,HI,America/New_York
EST,IN,America/New_York
EST,KY,America/New_York
EST,ME,America/New_York
